average_concentrate_crude_protein_as_fed_band,dairy_cow_milk_yield_band,annual_total_N_kg_per_cow,source_id,eligibility
>14% and <=15%,1,79,LAW_IE_SI_588_2025,Only where the herd elects the statutory crude-protein option and keeps prescribed records; otherwise use current Table 7.
>14% and <=15%,2,90,LAW_IE_SI_588_2025,Only where the herd elects the statutory crude-protein option and keeps prescribed records; otherwise use current Table 7.
>14% and <=15%,3,103,LAW_IE_SI_588_2025,Only where the herd elects the statutory crude-protein option and keeps prescribed records; otherwise use current Table 7.
>13% and <=14%,1,78,LAW_IE_SI_588_2025,Only where the herd elects the statutory crude-protein option and keeps prescribed records; otherwise use current Table 7.
>13% and <=14%,2,89,LAW_IE_SI_588_2025,Only where the herd elects the statutory crude-protein option and keeps prescribed records; otherwise use current Table 7.
>13% and <=14%,3,100,LAW_IE_SI_588_2025,Only where the herd elects the statutory crude-protein option and keeps prescribed records; otherwise use current Table 7.
<=13%,1,76,LAW_IE_SI_588_2025,Only where the herd elects the statutory crude-protein option and keeps prescribed records; otherwise use current Table 7.
<=13%,2,87,LAW_IE_SI_588_2025,Only where the herd elects the statutory crude-protein option and keeps prescribed records; otherwise use current Table 7.
<=13%,3,98,LAW_IE_SI_588_2025,Only where the herd elects the statutory crude-protein option and keeps prescribed records; otherwise use current Table 7.
